Date,return_assets,return_capital,return_equity,return_invested_capital,return_common_equity,gross_margin,sga_margin,ebitda_margin,ebita_margin,ebit_margin,earning_co_margin,ni_margin,ni_norm_margin,ni_avail_excl_margin,lfcf_margin,ufcf_margin,cf_total_rev,asset_turns,fixed_asset_turns,ar_turns,inventory_turns,current_ratio,quick_ratio,days_sales_out,days_inventory_out,days_payable_out,cash_conversion,cfo_current_liab,total_debt_equity,total_debt_capital,lt_debt_equity,lt_debt_capital,total_liab_total_assets,ebit_int,ebitda_int,ebitda_capex_int,total_debt_ebitda,net_debt_ebitda,total_debt_ebitda_capex,net_debt_ebitda_capex,ebitda_excl_oper_leases_int,ebitda_excl_oper_leases_capex_int,total_debt_ebitda_excl_oper_leases,net_debt_ebitda_excl_oper_leases,total_debt_ebitda_excl_oper_leases_capex,net_debt_ebitda_excl_oper_leases_capex,total_rev_employee,z_score,capex_pct_rev,Ticker
2000-03-31,8.1325,11.8544,34.6943,8.9006,34.4562,43.7162,33.8856,10.7388,8.5427,8.5427,4.4015,4.0088,4.1166,4.0088,,,,1.52318,19.60812,4.7838,3.29064,1.85089,0.94436,76.50827,111.22447,,,,215.3186,68.286,182.3529,57.8313,78.3151,6.16628,7.75149,7.75149,2.98508,2.90013,2.98508,2.90013,7.75149,7.75149,2.98508,2.90013,2.98508,2.90013,,,,ADS.DE
2000-06-30,7.5078,11.1247,33.5743,8.2673,33.5261,43.4704,34.1151,10.286,8.08,8.08,4.1237,3.7529,3.8235,3.7529,,,,1.4867,18.72681,5.62992,2.61899,1.79363,0.759,65.00965,139.74868,,,,234.5663,70.1105,194.6428,58.1776,79.7101,5.66587,7.21278,7.21278,3.23013,3.0861,3.23013,3.0861,7.21278,7.21278,3.23013,3.0861,3.23013,3.0861,,,,ADS.DE
2000-09-30,6.9585,9.9036,24.8543,6.7232,23.8058,43.553,34.7928,9.6662,7.4725,7.4725,3.6233,3.1705,3.3663,3.1705,,,,1.48994,18.66984,4.56454,3.05955,1.99279,0.99712,80.18328,119.62527,,,,210.9559,67.8411,172.5026,55.4749,77.0576,5.14108,6.65034,6.65034,3.60445,3.48515,3.60445,3.48515,6.65034,6.65034,3.60445,3.48515,3.60445,3.48515,,,,ADS.DE
2000-12-31,7.2364,10.5299,25.1156,5.3548,24.3008,43.3248,34.4882,9.8206,8.5524,7.5463,3.5478,3.1137,3.2425,3.1137,-2.8971,-1.7348,,1.5343,20.48238,5.38768,2.82727,2.03556,0.96514,67.93253,129.4531,52.50124,144.88439,-0.00761,210.6111,67.8054,179.6036,57.8226,77.477,4.05756,5.28044,4.13026,3.32657,3.13808,4.25295,4.01197,5.28044,4.13026,3.32657,3.13808,4.25295,4.01197,436.671,3.00557,2.1391,ADS.DE
2001-03-31,7.0943,10.272,22.6511,6.3613,21.1993,43.2267,34.2475,9.9938,7.6808,7.6808,3.4039,2.9729,3.1135,2.9729,,,,1.47782,19.26493,4.67447,2.9417,2.01159,0.92706,78.08372,124.07774,,,,207.2631,67.4546,170.9473,55.6354,77.3215,3.51171,4.56918,4.56918,3.3531,3.2356,3.3531,3.2356,4.56918,4.56918,3.3531,3.2356,3.3531,3.2356,,,,ADS.DE
2001-06-30,7.0484,10.247,23.8024,6.2771,22.3208,43.2883,34.1235,10.1456,7.826,7.826,3.4353,2.9963,3.159,2.9963,,,,1.44102,18.06267,5.37589,2.43355,1.88962,0.78464,67.89548,149.98653,,,,227.5607,69.4713,177.5079,54.1908,78.762,3.51501,4.55685,4.55685,3.54198,3.39241,3.54198,3.39241,4.55685,4.55685,3.54198,3.39241,3.54198,3.39241,,,,ADS.DE
2001-09-30,7.1471,9.9502,21.8341,6.3465,20.9647,42.8641,33.7379,10.1086,7.7467,7.7467,3.4699,3.0882,3.1599,3.0882,,,,1.47615,18.23822,4.44835,2.93105,2.18128,1.11275,82.05273,124.52851,,,,201.7804,66.8633,168.7438,55.916,76.0426,3.44186,4.4912,4.4912,3.30302,3.17188,3.30302,3.17188,4.4912,4.4912,3.30302,3.17188,3.30302,3.17188,,,,ADS.DE
2001-12-31,7.2617,10.5166,23.1968,5.8898,22.7869,42.5562,33.3173,9.7624,8.4556,7.7948,3.753,3.411,3.4657,3.411,3.4589,4.5609,,1.49057,20.28436,5.12287,2.73552,2.06517,1.01256,71.24873,133.42977,60.76009,143.91841,0.27557,165.8311,62.3821,147.2135,55.3785,74.3532,4.42087,5.53681,4.05467,2.98131,2.8356,4.07109,3.87212,5.53681,4.05467,2.98131,2.8356,4.07109,3.87212,438.443,3.15696,2.6132,ADS.DE
2002-03-31,6.5403,9.3717,21.8056,5.4517,21.0546,42.5716,33.8073,9.2971,7.9426,7.2742,3.6076,3.3184,3.3482,3.3184,3.4433,4.3898,,1.43858,17.69242,4.51831,2.84835,1.84836,0.93179,80.78217,128.1442,,,0.17909,181.0737,64.4221,139.3994,49.5953,75.1357,4.80363,6.1395,4.52139,3.45658,3.31763,4.69362,4.50493,6.1395,4.52139,3.45658,3.31763,4.69362,4.50493,,2.98826,2.4503,ADS.DE
2002-06-30,6.2866,9.24,22.8836,5.4355,22.3605,42.5191,34.0077,9.1117,7.7075,7.0377,3.4979,3.2466,3.258,3.2466,7.7334,8.6692,,1.42923,17.82915,5.10843,2.52038,1.91277,0.85145,71.45021,144.81959,,,0.30472,195.9514,66.2106,169.4331,57.2503,77.5352,4.70019,6.08527,4.66361,3.35696,3.20783,4.38029,4.18571,6.08527,4.66361,3.35696,3.20783,4.38029,4.18571,,3.05463,2.1287,ADS.DE
