algoritmo,step_size,iter,time,loss,gap,spars,mse
FW,diminishing,0,0.000354766845703125,160.78616839923896,460.21383160076095,1,0.5178298499170337
FW,diminishing,1,0.00046896934509277344,149.19160601568694,375.17617708715835,2,0.4804882641406987
FW,diminishing,2,0.0005679130554199219,133.21743825878733,230.99888021022616,3,0.4290416691104262
FW,diminishing,3,0.0006618499755859375,92.6900102844196,233.11994212724352,4,0.29851855164064284
FW,diminishing,4,0.0007548332214355469,92.311063787964,116.84072545391629,5,0.2972981120385314
FW,diminishing,5,0.0008459091186523438,77.93667315543733,112.09080054247617,6,0.2510037782783811
FW,diminishing,6,0.0009360313415527344,70.02686194171031,69.80215822114457,6,0.22552934602805252
FW,diminishing,7,0.0010256767272949219,68.6859357768786,61.629850750581106,7,0.2212107432427652
FW,diminishing,8,0.0011169910430908203,67.04025983894988,46.56628667631125,8,0.2159106597067629
FW,diminishing,9,0.001210927963256836,65.13975201396892,59.118896704926826,9,0.20978986155867607
FW,diminishing,10,0.0013167858123779297,64.49973238517418,24.46985654901509,10,0.20772860671553683
FW,diminishing,11,0.0014138221740722656,63.85518464875557,32.09847154771242,10,0.205652768595026
FW,diminishing,12,0.0015218257904052734,62.78577909410558,36.054557445138,10,0.20220862832240122
FW,diminishing,13,0.0016107559204101562,62.55835930138423,27.494828679969544,11,0.20147619742796852
FW,diminishing,14,0.0016987323760986328,62.023761050544366,26.495016112324706,11,0.19975446393089974
FW,diminishing,15,0.0017879009246826172,61.44025725011729,29.634106968007217,12,0.1978752246380589
FW,diminishing,16,0.0018770694732666016,60.82049908016587,18.693290364398194,12,0.19587922409071132
FW,diminishing,17,0.001981973648071289,60.73655829681357,21.19185015852937,13,0.19560888340358637
FW,diminishing,18,0.0020868778228759766,60.46253016135897,12.911919777933136,13,0.19472634512514966
FW,diminishing,19,0.002207040786743164,60.368245203076306,9.262016187317748,14,0.19442268986498004
FW,diminishing,20,0.002316713333129883,60.3550016344585,7.611944097230605,14,0.1943800374700757
FW,diminishing,21,0.002422809600830078,60.15589191339632,13.090530748834695,15,0.19373878232977879
FW,diminishing,22,0.002541780471801758,60.154784562539476,3.9263998290942936,15,0.19373521598241378
FW,diminishing,23,0.002647876739501953,60.11922666777922,7.3282534873552265,15,0.19362069780283164
FW,diminishing,24,0.0027549266815185547,60.08016764498921,9.674784241748483,15,0.1934949038485965
FW,diminishing,25,0.0028769969940185547,60.07687980321389,3.081440811429246,15,0.19348431498619612
FW,diminishing,26,0.0029997825622558594,60.03938856863123,5.946483427546298,16,0.19336357026934375
FW,diminishing,27,0.0031218528747558594,60.03157098763662,5.074033274059943,16,0.19333839287483615
FW,diminishing,28,0.0032279491424560547,59.989951185472314,4.765945495154114,16,0.1932043516440332
FW,diminishing,29,0.0033507347106933594,59.93626147827929,7.683274997448635,16,0.19303143793326663
FW,diminishing,30,0.003471851348876953,59.90200732635172,4.393976582741317,16,0.19292111860338718
FW,diminishing,31,0.0036089420318603516,59.89174641503403,3.3219689058905786,16,0.1928880721901257
FW,diminishing,32,0.0037310123443603516,59.8689201649788,3.8726271324518677,16,0.19281455769719422
FW,diminishing,33,0.00385284423828125,59.84391074935834,4.417718317129726,16,0.19273401207522817
FW,diminishing,34,0.003973960876464844,59.83078262751296,2.3802597365679787,16,0.19269173148957475
FW,diminishing,35,0.004109859466552734,59.82357069683777,2.864627820448419,16,0.19266850465970295
FW,diminishing,36,0.004245758056640625,59.820615839935144,1.8697481497486947,16,0.1926589882123515
FW,diminishing,37,0.004367828369140625,59.80750913166574,3.0354517052607903,16,0.19261677659151608
FW,diminishing,38,0.004488945007324219,59.80570774439087,2.453706115913789,16,0.19261097502219282
FW,diminishing,39,0.004609823226928711,59.79805277408085,1.8821293953013338,16,0.1925863213335937
FW,diminishing,40,0.004745960235595703,59.7961555529038,1.896467427850908,16,0.1925802111204631
FW,diminishing,41,0.004866838455200195,59.790149977348136,2.1302689547346745,16,0.19256086949226453
FW,diminishing,42,0.005003690719604492,59.7854383179656,2.2997258643129754,16,0.19254569506591176
FW,diminishing,43,0.005124807357788086,59.77974797891035,2.2484886748699324,16,0.19252736869214285
FW,diminishing,44,0.00524592399597168,59.77692004778962,2.61585042261202,16,0.19251826102347705
FW,diminishing,45,0.005367755889892578,59.77339130465717,1.4213894910736826,16,0.19250689631129522
FW,diminishing,46,0.005488872528076172,59.768062384234575,2.436666177017756,16,0.1924897339266814
FW,diminishing,47,0.005609989166259766,59.763694736343076,2.0204949690680394,16,0.192475667427836
FW,diminishing,48,0.005731821060180664,59.75807088207732,3.2266241479327817,16,0.19245755517577237
FW,diminishing,49,0.005867719650268555,59.753609840715974,2.2077789063621864,16,0.19244318789280507
FW,diminishing,50,0.005989789962768555,59.74788398553106,1.582169012024977,16,0.19242474713536573
FW,diminishing,51,0.006126880645751953,59.74394396270857,1.8621679386470191,16,0.19241205785091328
FW,diminishing,52,0.006247997283935547,59.74295862228447,1.385054641491692,16,0.19240888445180182
